Type,Date,Category,Amount,Note
Expense,20-11-2023,Food,17446,Idli medu Vada mix 2 plates
Expense,20-11-2023,Transportation,8723,2 Place 5 to Place 0
Expense,19-11-2023,Subscription,57861,1 month subscription
Expense,17-11-2023,Subscription,5524,Data booster pack
Expense,15-11-2023,Subscription,58152,Permanent Residence - Tata Play recharge
Expense,14-11-2023,Transportation,14538,Place 2 station to Permanent Residence
Expense,13-11-2023,Transportation,11630,2 Place 0 to Place 3
Expense,13-11-2023,Other,24133,HBR 2 Months subscription
Expense,13-11-2023,Food,13375,1kg atta
Expense,12-11-2023,Subscription,193937,Data booster pack
Expense,11-11-2023,Food,188994,Home Food Delivery
Income,11-11-2023,Other,1017660,From Family
Expense,11-11-2023,Food,10467,Half lit  milk
Expense,10-11-2023,Food,10467,Half lit  milk
Expense,07-11-2023,Food,10758,Half lit  milk
Expense,06-11-2023,Food,15992,Amul butter
Expense,05-11-2023,Food,6978,2 kachori
Expense,05-11-2023,Food,8723,Chinese Bhel
Expense,05-11-2023,Food,11630,Shev Puri
Expense,05-11-2023,Food,5234,Bread
Expense,05-11-2023,Food,10467,Half lit  milk
Expense,31-10-2023,Food,148535,Domino's Pizza
Income,31-10-2023,Salary,20427344,From workplace 
Expense,31-10-2023,Food,10467,Half lit  milk
Expense,30-10-2023,Food,22679,Warna Srikhand pav kg
Expense,30-10-2023,Household,99731,Supermart
Expense,29-10-2023,Food,7851,Baking soda
Expense,29-10-2023,Food,4361,chocobar
Expense,29-10-2023,Food,10467,Half lit  milk
Expense,27-10-2023,Food,10467,Half lit  milk
Expense,27-10-2023,Food,5815,Dahi 2 packets
Expense,27-10-2023,Food,17446,2 plates poha
Expense,27-10-2023,Food,13084,Khari packet
Income,26-10-2023,Interest,8723,interest paid
Expense,24-10-2023,Food,5815,
Expense,24-10-2023,Food,10467,Half lit  milk
Income,24-10-2023,Other,290760,From Family
Expense,24-10-2023,Food,325651,Home Food Delivery
Expense,23-10-2023,Food,17446,Catering Service
Expense,23-10-2023,Transportation,350482,2 Place 3 to Place 2 : Amritsar express 3AC
Expense,23-10-2023,Transportation,379558,2 Place 2 to Place 3 : Sevagram express 3AC
Expense,22-10-2023,Food,10758,Half lit  milk
Expense,21-10-2023,Food,3489,cutting chai
Expense,21-10-2023,Food,10467,Half lit  milk
Expense,19-10-2023,Subscription,57861,1 month subscription
Expense,17-10-2023,Food,10467,Half lit  milk
Expense,17-10-2023,Food,5815,Dahi 2 packets
Expense,16-10-2023,Subscription,45649,Permanent Residence - Tata Play recharge
Expense,15-10-2023,Food,84320,Warna Srikhand half kg
Expense,15-10-2023,Food,62804,M D sure 4kg atta
Expense,14-10-2023,Food,33437,Vanila family pack
Expense,14-10-2023,Household,46522,Toothpaste Patanjali
Expense,14-10-2023,Food,9304,Dahi
Expense,13-10-2023,Food,2908,Vanila cup
Expense,13-10-2023,Food,5815,chocobar
Expense,13-10-2023,Household,172711,Supermart
Expense,13-10-2023,Household,63967,Brass Puja plate and diva
Expense,13-10-2023,Household,29076,5 litres can Distilled water
Expense,13-10-2023,Food,13084,Half kg Lahsoon
Expense,11-10-2023,Food,27913,8 kachori
Expense,05-10-2023,Transportation,5815,Place 0 to Place 4 return
Expense,05-10-2023,Transportation,4361,Current Residence to Place 0
Expense,05-10-2023,Food,2908,cutting chai
Expense,05-10-2023,Health,1250268,eyewear Glasses payment remaining
Income,03-10-2023,Other,29076,From Family
Expense,02-10-2023,Food,62804,M D sure 4kg atta
Expense,02-10-2023,Health,290760,eyewear Glasses advance
Expense,02-10-2023,Household,5234,Supermart
Expense,30-09-2023,Food,2908,10 melody
Income,30-09-2023,Salary,20427344,From workplace 
Expense,29-09-2023,Food,7269,1 plates poha
Expense,29-09-2023,Food,61641,Catering Service
Expense,29-09-2023,Health,29076,Glucose D(50) + flora bc (40)+cyra 20(10)
Expense,29-09-2023,Health,38380,
Expense,28-09-2023,Transportation,4361,Current Residence to Place 0
Expense,28-09-2023,Transportation,11630,2 Place 0 to Place A returns
Expense,28-09-2023,Food,30530,Medu vada 3 plate
Expense,28-09-2023,Transportation,14538,Decathlon Place A to Place A station
Expense,28-09-2023,Food,75598,Paneer pizza
Expense,27-09-2023,Household,1090350,Supermart
Expense,27-09-2023,Food,56698,
Expense,26-09-2023,Other,240168,Demat account charges
Income,25-09-2023,Tax refund,1971353,
Expense,25-09-2023,Food,11630,Toast packet
Expense,22-09-2023,Subscription,44777,Current Residence - Tata Play recharge
Expense,22-09-2023,Food,29076,4 plates poha
Expense,20-09-2023,Food,13084,Toast packet
Expense,20-09-2023,Food,17446,2 Bhajipav + 2 vadapav
Expense,20-09-2023,Food,8723,Khajur pav kg
Expense,20-09-2023,Household,107000,Supermart
Expense,19-09-2023,Food,5815,chocobar
Expense,19-09-2023,Food,7269,potato 1kg
Expense,19-09-2023,Food,7269,onion 1 kg
Expense,19-09-2023,Transportation,45068,Ola cab - eye institute to Current Residence CHS
Expense,19-09-2023,Health,25296,Cataract Medicine
Expense,19-09-2023,Health,304716,Cataract Medicine
Expense,18-09-2023,Food,11630,Dahi 4 packets
Expense,17-09-2023,Food,62804,M D sure 4kg atta
Expense,15-09-2023,Household,346004,Sony WI-C100 earphones wireless
Expense,15-09-2023,Food,24424,7 kachori
Expense,14-09-2023,Food,13956,4 kachori
Expense,14-09-2023,Food,145380,
Expense,14-09-2023,Food,8723,
Expense,13-09-2023,Other,581520,CA  - income tax filing
Expense,12-09-2023,Transportation,54663,Ola cab - eye institute to Current Residence CHS
Expense,12-09-2023,Health,394852,Cataract Medicine
Expense,11-09-2023,Food,10177,6 eggs
Expense,10-09-2023,Food,16573,2 bread packets
Expense,08-09-2023,Food,17446,Shev bhaji sev pav kg
Expense,08-09-2023,Transportation,104674,3.4 Lit Petrol
Expense,08-09-2023,Food,5815,Toast packet
Expense,07-09-2023,Health,145380,Hospital consultation
Expense,07-09-2023,Transportation,196263,To and Fro Cab Fare Contribution
Expense,07-09-2023,Transportation,37799,Ola cab - Current Residence CHS to eye institute
Expense,07-09-2023,Transportation,53791,Ola cab - eye institute to Current Residence CHS
Expense,07-09-2023,Health,44486,eye drop
Expense,07-09-2023,Food,8723,3 cutting chai
Expense,06-09-2023,Subscription,56989,
Expense,06-09-2023,Food,582,At restaurant
Expense,06-09-2023,Transportation,2908,Place 4 to Place 0
Expense,05-09-2023,Food,220978,At restaurant
Expense,05-09-2023,Transportation,29076,Park Inn Goa
Expense,04-09-2023,Transportation,24133,Terminal 1 to Terminal 2
Expense,04-09-2023,Food,2035,cutting chai
Expense,04-09-2023,Transportation,4361,Current Residence to Place 0
Expense,04-09-2023,Transportation,5815,Place 0 to Place P
Expense,03-09-2023,Health,29076,Doctor Fees
Expense,03-09-2023,Health,418694,2 Thyroid (1000) + cholesterol (220) + uric acid (220)
Expense,02-09-2023,Subscription,44777,Current Residence - Tata Play recharge
Expense,02-09-2023,Food,10467,Half lit  milk
Expense,01-09-2023,Transportation,11630,Current Residence to Place 1 bus stop highway
Expense,01-09-2023,Household,182016,Face towels + shampoo
Expense,01-09-2023,Transportation,7560,2 Place 1 to  mall
Expense,01-09-2023,Household,463762,Supermart
Expense,01-09-2023,Transportation,5815,2 Place 6 Stand to MS
Expense,01-09-2023,Transportation,14538,Place 1 bridge to Current Residence 2 seats
Expense,31-08-2023,Food,4361,Vadapav
Expense,31-08-2023,Food,20935,milk 1lit 
Expense,31-08-2023,Transportation,549536,2 Place 2 to Place 1 - Shree Sharma Travels
Income,30-08-2023,Salary,18934873,From workplace 
Income,30-08-2023,Interest,99440,interest paid
Expense,30-08-2023,Household,348912,Aqugurad PRV
Expense,29-08-2023,Household,20353,Tulsi plant+ pot
Expense,29-08-2023,Household,14538,Math tap repair
Expense,29-08-2023,Household,78505,3 bulbs 3 pencil cells
Expense,28-08-2023,Food,20353,Bhaji + vadapav + kachori+ tea
Expense,28-08-2023,Transportation,66293,Vadala road to Nehru Planetarium
Expense,28-08-2023,Food,132296,Home Food Delivery
Expense,27-08-2023,Transportation,23261,2 Place 0 to Place P return
Expense,27-08-2023,Household,29076,Mouse pad
Expense,27-08-2023,Transportation,8723,2 Current Residence to Place 0
Expense,27-08-2023,Transportation,7269,Place P station to Alfa market
Expense,27-08-2023,Food,4071,2 cups
Expense,27-08-2023,Other,1372387,Shopping at Alfa
Income,27-08-2023,Other,872280,From Family
